Отряд;Пожарная часть;Дата;Время выезда;Вид техники;Государственный номер;Показания спидометра при выезде;Показания спидометра на момент прибытия;Работа с насосом;Работа без насоса;Фактический расход ГСМ;Дата возвращения;Время возвращения;Основание для выезда
;24 ПЧ;2021-06-16;11:50:00;АЦ-4,0-40 (УРАЛ-43206);К 352 КС;23827;23827;0;5;0.300;2021-06-16;12:10:00;Отработка нормативов ПС и ТСП
;24 ПЧ;2021-06-16;10:00:00;АЦ-4,0-40 (УРАЛ-43206);К 352 КС;23827;23827;0;5;0.300;2021-06-16;10:20:00;Отработка нормативов ГДЗС
;ОП 23 ПЧ Взморье;2021-06-16;08:00:00;АЦ-2,5-40(5313);К 459 РТ;12586;12586;0;5;0.275;2021-06-16;8:30:00;ЕТО
;ОП 23 ПЧ Сокол;2021-06-16;08:00:00;АЦ-2,5-40(5313);К 013 РС;00205;00205;0;5;0.690;2021-06-16;8:30:00;ЕТО
;ОП 23 ПЧ Стародубское;2021-06-16;08:00:00;АЦ-6,0-50 (УРАЛ-5557);К 012 РС;35863;35863;0;5;0.840;2021-06-16;8:30:00;ЕТО
;23 ПЧ;2021-06-16;08:00:00;АЦ-40 (131)137;М 669 КР;51755;51755;0;3;0.420;2021-06-16;8:30:00;ЕТО
;23 ПЧ;2021-06-16;08:00:00;АСО-20 (ГАЗ - 3308);М 823 СР;08492;08492;0;7;0.770;2021-06-16;8:30:00;ЕТО
;23 ПЧ;2021-06-16;08:00:00;АР-2 ( КАМАЗ-5350);М 584 СХ;03680;03680;0;7;0.749;2021-06-16;8:30:00;ЕТО
;23 ПЧ;2021-06-16;08:00:00;АЛ-30 (531320);К 986 ХХ;2683;2683;10;0;2.500;2021-06-16;8:30:00;ЕТО
;23 ПЧ;2021-06-16;08:00:00;HINO;М 014 АО;58301;58301;0;5;0.750;2021-06-16;8:30:00;ЕТО
;23 ПЧ;2021-06-16;08:00:00;АЦ-6,0 (УРАЛ-4320);М 926 РЕ;26284;26284;0;5;0.840;2021-06-16;8:30:00;ЕТО
;23 ПЧ;2021-06-16;08:00:00;АЦ-7,5 (КАМАЗ-43118);М 925 РЕ;17534;17534;0;5;1.000;2021-06-16;8:30:00;ЕТО
;ОП 23 ПЧ Сокол;2021-06-13;15:56:00;АЦ-2,5-40(5313);К 013 РС;200;203;0;0;1;2021-06-13;16:24:00;Пожар
;24 ПЧ;2021-06-16;08:20:00;АЦ-2,5-40(5313);К 014 РС;07313;07313;0;5;0.690;2021-06-16;8:30:00;ЕТО
;24 ПЧ;2021-06-16;08:10:00;АЦ-4,0-40 (УРАЛ-43206);К 352 КС;23827;23827;0;5;0.300;2021-06-16;8:20:00;ЕТО
;25 ПЧ;2021-06-16;08:00:00;АНР 40-1,4(КАМАЗ-43118);М 917 РР;2589;2589;0;5;0.650;2021-06-16;8:30:00;ЕТО
;25 ПЧ;2021-06-16;08:00:00;АЦ-6,0-70(5557);Н 658 ЕВ;7885;7885;0;5;0.620;2021-06-16;8:30:00;ЕТО
;ОП 23 ПЧ Сокол;2021-06-15;16:40:00;АЦ-2,5-40(5313);К 013 РС;00203;00205;0;0;0.824;2021-06-15;16:50:00;Обкатка после ТО
;ОП 23 ПЧ Стародубское;2021-06-15;16:55:00;АЦ-6,0-50 (УРАЛ-5557);К 012 РС;35860;35863;0;0;1.335;2021-06-15;17:05:00;Обкатка после ТО
;23 ПЧ;2021-06-15;12:07:00;АЦ-7,5 (КАМАЗ-43118);М 925 РЕ;17534;17534;0;5;1.000;2021-06-15;12:30:00;Отработка нормативов ГДЗС
;24 ПЧ;2021-06-15;11:55:00;АЦ-4,0-40 (УРАЛ-43206);К 352 КС;23827;23827;0;5;0.300;2021-06-15;12:15:00;Отработка нормативов ПС и ТСП
;24 ПЧ;2021-06-15;10:20:00;АЦ-4,0-40 (УРАЛ-43206);К 352 КС;23827;23827;0;5;0.300;2021-06-15;10:40:00;Отработка нормативов ГДЗС
;23 ПЧ;2021-06-15;08:00:00;АЦ-40 (131)137;М 669 КР;51755;51755;0;3;0.420;2021-06-15;8:30:00;ЕТО
;23 ПЧ;2021-06-15;08:00:00;АСО-20 (ГАЗ - 3308);М 823 СР;08492;08492;0;7;0.770;2021-06-15;8:30:00;ЕТО
;23 ПЧ;2021-06-15;08:00:00;АР-2 ( КАМАЗ-5350);М 584 СХ;03680;03680;0;7;0.749;2021-06-15;8:30:00;ЕТО
