номер;Вид топлива;расход на 100 км.;расход с насосом;расход без насоса;норма;Топливо в баке на 01.01.2021;Общий пробег;Общий пробег с 01.01.2020;ОСП;зима_норма
6356 СМ;Дизельное топливо;14;0;0;20;40;38;0;А-Сахалинский;15.68
7292 СМ;Бензин А-92;0;0;0;5;20;303;0;А-Сахалинский;25
А 529 ОК;Бензин А-92;43.26;0;0;0;136.41;25116;0;А-Сахалинский;48.204
К 169 ХТ;Дизельное топливо;27.5;0.303;0.137;88.8;145.106;24784;126;А-Сахалинский;28.875
К 170 ХТ;Дизельное топливо;32.2;0.277;0.168;132;266.757;48192;778;А-Сахалинский;33.81
К 197 СА;Бензин А-80;30.2;0.215;0.11;76;48.209;19322;372;А-Сахалинский;31.71
К 294 АА;Бензин А-92;31.815;0;0;1276;104.869;19880;0;А-Сахалинский;35.451
К 484 ОО;Бензин А-92;19.4;0;0;120;3.589;137735;122;А-Сахалинский;20.37
К 832 ТК;Дизельное топливо;33.3;0.257;0.156;132;267.830;26373;232;А-Сахалинский;34.965
К 833 ТК;Дизельное топливо;32.2;0.277;0.168;746;235.938;89056;1702;А-Сахалинский;33.81
М 433 ОК;Дизельное топливо;32.2;0.277;0.168;746;165.115;67620;1886;А-Сахалинский;33.81
М 722 ОН;Дизельное топливо;35.2;0.277;0.168;288.4;260.751;15310;2009;А-Сахалинский;36.96
М 954 ОЕ;Дизельное топливо;32.2;0.277;0.168;112;139.104;16259;497;А-Сахалинский;33.81
М 956 ОЕ;Дизельное топливо;32.2;0.277;0.168;696;200.058;68386;1790;А-Сахалинский;33.81
Н 431 ЕА;Бензин А-92;13.4;0;0;6000;27.621;2298;0;А-Сахалинский;15.678
1031 АА;Бензин А-92;8.683;0;0;10;15.292;135;0;Анива;9.6945
1212 АА;Бензин А-92;8.683;0;0;10;15.372;274;0;Анива;9.6945
6326 СМ;Дизельное топливо;10.2;0;0;60;11.093;398.580;0;Анива;11.424
9329 СМ;Бензин А-92;0;0;0;50;10.460;139;0;Анива;25
9330 СМ;Дизельное топливо;26.300;0;0;20;0;0;0;Анива;29.456
В 810 ОУ;Дизельное топливо;30.969;0;0;1200;214.723;0;0;Анива;34.317
К 028 ТС;Дизельное топливо;24;0.202;0.055;232;97.020;24932.1;90;Анива;25.2
К 128 УС;Дизельное топливо;33.3;0.257;0.156;814;143.528;55265.3;1151;Анива;34.965
К 197 МЕ;Дизельное топливо;31.2;0.235;0.138;360;116.354;77793.5;325;Анива;32.76
К 388 ХА;Бензин А-92;14.175;0;0;5400;16.068;198032;0;Анива;15.795
К 441 ТХ;Дизельное топливо;30.975;0;0;3000;281.776;18273;0;Анива;34.515
К 443 ТХ;Дизельное топливо;30.975;0;0;1200;231.6;17358;0;Анива;34.515
К 684 НВ;Дизельное топливо;43.2;0.327;0.198;1800;132.180;28474.6;350;Анива;45.36
М 195 СТ;Дизельное топливо;32.8;0.741;0.118;864;262.686;9326.6;290;Анива;34.44
М 304 ОА;Дизельное топливо;42.5;0.224;0.136;304;148.184;14299.3;266;Анива;44.625
М 541 ТХ;Дизельное топливо;33.978;0;0;480;223.994;14295;0;Анива;37.8612
М 542 ТХ;Дизельное топливо;33.978;0;0;480;338.341;14313;0;Анива;37.8612
М 543 ТХ;Дизельное топливо;33.978;0;0;280;161.884;15967;0;Анива;37.8612
М 649 ТХ;Дизельное топливо;45.8;0.119;0.095;360;197.807;11097.333;12;Анива;51.296
М 768 ТХ;Дизельное топливо;42.5;0.437;0.099;360;400.128;9767.367;161;Анива;47.6
М 961 ВЕ;Дизельное топливо;31.4;0.235;0.138;796;213.193;43462.767;674;Анива;32.97
М 963 ВЕ;Дизельное топливо;44.5;0.243;0.146;1800;52.236;13633.633;801;Анива;46.725
М 987 СТ;Дизельное топливо;42.2;0.309;0.13;660;125.016;15965.6;736;Анива;44.31
Н 014 АУ;Дизельное топливо;25.2;0.005;0;3500;207.386;4588;0;Анива;28.08
Н 542 АМ;Дизельное топливо;47.5;0.486;0.124;846;84.910;8680.633;0;Анива;49.875
Н 735 ВР;Дизельное топливо;45.7;0.328;0.109;1800;210.582;14334.867;388;Анива;47.985
4839 СМ;Бензин А-92;0;0;0;80;16.250;1915;0;Долинск;25
4840 СМ;Бензин А-92;0;0;0;80;26.750;961;0;Долинск;25
6357 СМ;Дизельное топливо;14;0;0;20;99.720;289;0;Долинск;15.68
К 012 РС;Дизельное топливо;44.5;0.277;0.168;1046;185.014;53967;669;Долинск;46.725
К 013 РС;Бензин А-92;41.2;0.303;0.138;820;137.532;17843;378;Долинск;43.26
К 014 РС;Бензин А-92;41.2;0.303;0.138;500;135.089;15671;431;Долинск;43.26
К 300 УВ;Бензин А-92;16.095;0;0;3600;38;173898;0;Долинск;17.835
К 352 КС;Дизельное топливо;31.2;0.235;0.138;300;290.327;84731.00;532;Долинск;32.76
К 459 РТ;Дизельное топливо;24;0.202;0.055;554;121.468;12623;669;Долинск;25.2
К 507 ХС;Дизельное топливо;18.148;0;0;0;112.269;401538;0;Долинск;20.075
